Number,HasConnected,FtaNotes,Has-Connected
45,FALSE,,0
135,FALSE,,0
234,FALSE,,0
292,FALSE,,0
461,FALSE,,0
829,FALSE,,0
868,FALSE,,0
1018,FALSE,,0
1024,FALSE,,0
1501,FALSE,,1
1646,FALSE,,0
1720,FALSE,,0
1741,FALSE,,0
1747,FALSE,,0
2197,FALSE,,0
3147,FALSE,,0
3176,FALSE,,0
3487,FALSE,,0
3494,FALSE,,0
3865,FALSE,,0
3940,FALSE,,0
4272,FALSE,,0
4926,FALSE,,0
4982,FALSE,,0
5010,FALSE,,0
5188,FALSE,,0
5402,FALSE,,0
5484,FALSE,,0
6498,FALSE,,0
6721,FALSE,,0
7454,FALSE,,0
7457,FALSE,,0
7617,FALSE,,0
7657,FALSE,,0
8103,FALSE,,0
8430,FALSE,,0
9431,FALSE,,0
9491,FALSE,,0
